"dc (V)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 0.5) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 0.6666667) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 0.8333333) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.0) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.1) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.166667) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.333333) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.5) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.666667) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 1.833333) (A)","value(i("/I5/OUT" ?result "dc-dc") "Vcas" 2.0) (A)"
0.00000,-1.150E-33,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
66.0E-3,151.2E-9,2.154E-6,4.016E-6,3.578E-6,3.672E-6,3.744E-6,3.879E-6,3.961E-6,4.021E-6,4.073E-6,4.116E-6
132.0E-3,167.2E-9,2.956E-6,6.742E-6,6.209E-6,6.354E-6,6.46E-6,6.635E-6,6.717E-6,6.774E-6,6.826E-6,6.871E-6
198.0E-3,172.8E-9,3.17E-6,8.269E-6,7.982E-6,8.117E-6,8.206E-6,8.305E-6,8.308E-6,8.305E-6,8.32E-6,8.338E-6
264.0E-3,177.0E-9,3.258E-6,8.915E-6,9.037E-6,9.117E-6,9.148E-6,9.115E-6,9.027E-6,8.969E-6,8.952E-6,8.949E-6
330.0E-3,180.7E-9,3.318E-6,9.17E-6,9.566E-6,9.608E-6,9.592E-6,9.48E-6,9.35E-6,9.27E-6,9.24E-6,9.229E-6
396.0E-3,184.3E-9,3.367E-6,9.309E-6,9.777E-6,9.83E-6,9.807E-6,9.679E-6,9.539E-6,9.452E-6,9.418E-6,9.405E-6
462.0E-3,187.8E-9,3.411E-6,9.409E-6,9.858E-6,9.92E-6,9.912E-6,9.809E-6,9.674E-6,9.588E-6,9.554E-6,9.541E-6
528.0E-3,191.3E-9,3.453E-6,9.491E-6,9.901E-6,9.953E-6,9.957E-6,9.898E-6,9.781E-6,9.700E-6,9.668E-6,9.655E-6
594.0E-3,194.7E-9,3.493E-6,9.563E-6,9.931E-6,9.969E-6,9.975E-6,9.953E-6,9.866E-6,9.796E-6,9.768E-6,9.757E-6
660.0E-3,198.1E-9,3.531E-6,9.629E-6,9.954E-6,9.98E-6,9.984E-6,9.979E-6,9.932E-6,9.881E-6,9.859E-6,9.851E-6
726.0E-3,201.5E-9,3.569E-6,9.691E-6,9.975E-6,9.988E-6,9.99E-6,9.99E-6,9.976E-6,9.953E-6,9.943E-6,9.939E-6
792.0E-3,204.9E-9,3.606E-6,9.75E-6,9.993E-6,9.996E-6,9.996E-6,9.996E-6,9.999E-6,10.01E-6,10.02E-6,10.02E-6
858.0E-3,208.3E-9,3.642E-6,9.807E-6,10.01E-6,10.0E-6,10.0E-6,10.0E-6,10.01E-6,10.05E-6,10.08E-6,10.1E-6
924.0E-3,211.6E-9,3.678E-6,9.862E-6,10.03E-6,10.01E-6,10.0E-6,10.0E-6,10.01E-6,10.07E-6,10.14E-6,10.17E-6
990.0E-3,215.0E-9,3.714E-6,9.916E-6,10.04E-6,10.01E-6,10.01E-6,10.01E-6,10.02E-6,10.08E-6,10.18E-6,10.23E-6
1.056,218.4E-9,3.75E-6,9.969E-6,10.06E-6,10.02E-6,10.01E-6,10.01E-6,10.02E-6,10.09E-6,10.20E-6,10.29E-6
1.122,221.8E-9,3.785E-6,10.02E-6,10.07E-6,10.02E-6,10.01E-6,10.01E-6,10.02E-6,10.09E-6,10.21E-6,10.33E-6
1.188,225.2E-9,3.821E-6,10.07E-6,10.08E-6,10.03E-6,10.02E-6,10.01E-6,10.02E-6,10.09E-6,10.22E-6,10.35E-6
1.254,228.6E-9,3.856E-6,10.12E-6,10.1E-6,10.03E-6,10.02E-6,10.01E-6,10.03E-6,10.1E-6,10.22E-6,10.36E-6
1.320,232.1E-9,3.891E-6,10.17E-6,10.11E-6,10.04E-6,10.02E-6,10.02E-6,10.03E-6,10.1E-6,10.22E-6,10.37E-6
1.386,235.5E-9,3.926E-6,10.22E-6,10.12E-6,10.04E-6,10.03E-6,10.02E-6,10.03E-6,10.1E-6,10.23E-6,10.37E-6
1.452,238.9E-9,3.96E-6,10.27E-6,10.14E-6,10.05E-6,10.03E-6,10.02E-6,10.03E-6,10.1E-6,10.23E-6,10.37E-6
1.518,242.3E-9,3.995E-6,10.32E-6,10.15E-6,10.05E-6,10.03E-6,10.02E-6,10.03E-6,10.1E-6,10.23E-6,10.38E-6
1.584,245.8E-9,4.03E-6,10.37E-6,10.16E-6,10.05E-6,10.04E-6,10.02E-6,10.03E-6,10.11E-6,10.23E-6,10.38E-6
1.650,249.2E-9,4.064E-6,10.42E-6,10.17E-6,10.06E-6,10.04E-6,10.03E-6,10.04E-6,10.11E-6,10.23E-6,10.38E-6
1.716,252.7E-9,4.099E-6,10.47E-6,10.18E-6,10.06E-6,10.04E-6,10.03E-6,10.04E-6,10.11E-6,10.23E-6,10.38E-6
1.782,256.1E-9,4.134E-6,10.51E-6,10.19E-6,10.07E-6,10.04E-6,10.03E-6,10.04E-6,10.11E-6,10.24E-6,10.38E-6
1.848,259.6E-9,4.168E-6,10.56E-6,10.20E-6,10.07E-6,10.05E-6,10.03E-6,10.04E-6,10.11E-6,10.24E-6,10.39E-6
1.914,263.1E-9,4.203E-6,10.61E-6,10.22E-6,10.07E-6,10.05E-6,10.03E-6,10.04E-6,10.11E-6,10.24E-6,10.39E-6
1.980,266.6E-9,4.238E-6,10.66E-6,10.23E-6,10.08E-6,10.05E-6,10.03E-6,10.04E-6,10.11E-6,10.24E-6,10.39E-6
2.046,270.1E-9,4.273E-6,10.70E-6,10.24E-6,10.08E-6,10.05E-6,10.04E-6,10.05E-6,10.12E-6,10.24E-6,10.39E-6
2.112,273.7E-9,4.308E-6,10.75E-6,10.25E-6,10.09E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.24E-6,10.39E-6
2.178,277.3E-9,4.343E-6,10.8E-6,10.26E-6,10.09E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.24E-6,10.39E-6
2.244,280.9E-9,4.379E-6,10.85E-6,10.27E-6,10.09E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.25E-6,10.39E-6
2.310,284.6E-9,4.415E-6,10.9E-6,10.28E-6,10.1E-6,10.06E-6,10.04E-6,10.05E-6,10.12E-6,10.25E-6,10.4E-6
2.376,288.4E-9,4.452E-6,10.95E-6,10.29E-6,10.1E-6,10.07E-6,10.04E-6,10.05E-6,10.12E-6,10.25E-6,10.4E-6
2.442,292.2E-9,4.49E-6,11.0E-6,10.31E-6,10.11E-6,10.07E-6,10.05E-6,10.05E-6,10.12E-6,10.25E-6,10.4E-6
2.508,296.1E-9,4.528E-6,11.05E-6,10.32E-6,10.11E-6,10.08E-6,10.05E-6,10.06E-6,10.13E-6,10.25E-6,10.4E-6
2.574,300.1E-9,4.568E-6,11.1E-6,10.33E-6,10.12E-6,10.08E-6,10.05E-6,10.06E-6,10.13E-6,10.25E-6,10.4E-6
2.640,304.2E-9,4.609E-6,11.16E-6,10.35E-6,10.13E-6,10.09E-6,10.06E-6,10.06E-6,10.13E-6,10.25E-6,10.4E-6
2.706,308.4E-9,4.651E-6,11.22E-6,10.37E-6,10.14E-6,10.09E-6,10.06E-6,10.06E-6,10.13E-6,10.26E-6,10.4E-6
2.772,312.8E-9,4.695E-6,11.28E-6,10.38E-6,10.15E-6,10.1E-6,10.06E-6,10.07E-6,10.13E-6,10.26E-6,10.4E-6
2.838,317.3E-9,4.741E-6,11.35E-6,10.41E-6,10.16E-6,10.11E-6,10.07E-6,10.07E-6,10.13E-6,10.26E-6,10.41E-6
2.904,322.1E-9,4.789E-6,11.41E-6,10.43E-6,10.17E-6,10.12E-6,10.08E-6,10.07E-6,10.14E-6,10.26E-6,10.41E-6
2.970,327.0E-9,4.84E-6,11.49E-6,10.46E-6,10.19E-6,10.14E-6,10.09E-6,10.08E-6,10.14E-6,10.26E-6,10.41E-6
3.036,332.2E-9,4.894E-6,11.57E-6,10.49E-6,10.21E-6,10.15E-6,10.1E-6,10.09E-6,10.14E-6,10.27E-6,10.41E-6
3.102,337.7E-9,4.951E-6,11.65E-6,10.52E-6,10.23E-6,10.17E-6,10.11E-6,10.09E-6,10.15E-6,10.27E-6,10.41E-6
3.168,343.4E-9,5.012E-6,11.75E-6,10.56E-6,10.26E-6,10.19E-6,10.12E-6,10.1E-6,10.16E-6,10.27E-6,10.42E-6
3.234,349.5E-9,5.077E-6,11.85E-6,10.6E-6,10.29E-6,10.22E-6,10.14E-6,10.12E-6,10.16E-6,10.28E-6,10.42E-6
3.300,355.9E-9,5.146E-6,11.95E-6,10.65E-6,10.33E-6,10.25E-6,10.16E-6,10.13E-6,10.17E-6,10.28E-6,10.42E-6
